Mature Forest_High Priority,Mature Forest_Lower Priority,Fire_High Priority,Fire_Lower Priority,Harvest_High Priority,Harvest_Lower Priority
SL_SBSdk_C_7_VL-L_Spruce,SF_SBSmc2_C_7_H_Spruce,SL_SBSdk_NA_3a_NA_Spruce,SL_SBSdk_NA_3a_NA_Spruce,SL_SBSdk_NA_3b_NA_Spruce,SL_SBSdk_NA_3b_NA_Pine
RR_ICHmc2_B_7_M_Populus,SK_SBSmc2_C_7_VL-L_Spruce,EF_ESSFmc_NA_3a_NA_Fir,SL_SBSmc2_NA_3a_NA_Pine,SL_SBSdk_C_3c_NA_Spruce,SL_SBSdk_C_3c_NA_Pine
CS_ICHmc1_C_7_H_Hemlock,CS_ICHmc2_B_7_M_Populus,,SL_SBSdk_NA_3a_NA_NA,,
SK_SBSmc2_C_7_M_Spruce,CS_ICHmc2_M_7_M_Populus,,,,
SK_SBSmc2_M_7_M_Spruce,EW_ESSFwv_C_7_VL-L_Fir,,,,
WR_SBSdk_B_7_M_Populus,FR_CWHvm2_C_7_VL-L_Hemlock,,,,
WR_SBSdk_C_7_M_Spruce,CS_ICHmc2_B_7_M_Populus,,,,
SA_ICHmc2_B_7_M_Populus,CS_ICHmc2_M_7_M_Populus,,,,
SA_ICHmc2_M_7_M_Populus,,,,,
EF_ESSFmc_C_7_VL_L_Pine,,,,,
SR_CWHws1_C_7_H_Hemlock,,,,,
FR_CWHws1_C_7_H_Hemlock,,,,,
